Brand Name	Mfg Code	Warranty Description	Warranty URL	Warranty Tel#	Warranty Months	Months for Parts	Comments
DZOFILM	DZO	DZOFILM	https://dzofilm.com/support/warranty-extension.html		12.0	12.0	
e2Work	E2WORK						Not in Adorama Brand List
Eagle Creek	RG						Not in Adorama Brand List
Eartec	EARTEC	Eartec	https://eartec.com/warranty	8003995994			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Earthquaker Devices	EARTH	Earthquaker Devices	https://www.earthquakerdevices.com/support				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Earthworks	EARTHW	Earthworks	https://earthworksaudio.com/support/warranty	6036542433	24.0	24.0	
Easiframe Fabric Cyclorama	ESF	Easiframe Fabric Cyclorama	https://easiframe.ca/term-of-service				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
easyCover	EASYCVR	easyCover	https://easycover.eu				Warranty Not Available On MFR
Easyrig	ERIG	Easyrig	https://easyrig.se/support/make-your-claim	6612953313	24.0	24.0	
eBuynow	EBN						Mfr Not Found
ECHOGEAR	FCL	ECHOGEAR	https://www.echogear.com/support	8554282490	60.0	60.0	
Eclipse Tools	RG						Not in Adorama Brand List
EcoFlow	ECFLW	EcoFlow	https://us.ecoflow.com/pages/warranty-policy	8003688604			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ecovacs Robotics Inc.	ECOVACS						Not in Adorama Brand List
EDE	RG						Not in Adorama Brand List
EDEC Digital Forensics	EDEC						Mfr Not Found
edelkrone	EDLKRN	edelkrone	https://edelkrone.com/pages/lifetime-insurance				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Edimax	EDI		https://www.edimax.com/edimax/us				Warranty Not Available on MFR
Edwal	CH						Warranty Not Applicable
EEG	EEG						Not in Adorama Brand List
E-flite	BLADE	E-flite	https://www.e-fliterc.com	8003384639			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Eizo	EI	Eizo	https://www.eizo.com/warranty	8008005202	60.0	60.0	
EKLIND	ARC						Not in Adorama Brand List
ELAC	ELAC	ELAC	https://www.elac.com/warranty-information	7142528843			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Elation	ELATION	Elation	https://www.elationlighting.com/warranty-information	8662456726			Not in Adorama Brand List
Elation Professional	RG	Elation Professional	https://www.elationlighting.com/warranty-information	8662456726			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Electro-Harmonix	ELEHAR	Electro-Harmonix	https://www.ehx.com/support		12.0	12.0	
Electronic Arts	ELARTS	Electronic Arts			3.0	3.0	As per Adorama
Electronic Theatre Controls	ETC	Electronic Theatre Controls	https://www.etcconnect.com	3234610216			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Electro-Voice	ELECTR	Electro-Voice	https://electrovoice.com	8002890096			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Element Technica	RG						Mfr Not Found
Elgato	ELGATO	Elgato	https://www.elgato.com/us/en	8888316488	24.0	24.0	
Eliminator	ELIM	Eliminator Lighting products	https://www.adj.com/warranty-information	3235822650	12.0	12.0	
	ELIM	Non L.E.D. Eliminator Lighting	https://www.adj.com/warranty-information	3235822650	12.0	12.0	
	ELIM	L.E.D. Eliminator Lighting	https://www.adj.com/warranty-information	3235822650	24.0	24.0	
	ELIM	Eliminator Laser Products	https://www.adj.com/warranty-information	3235822650	12.0	12.0	
Elinchrom	EL	Elinchrom	https://www.elinchrom.com/support/warranty	9143474285	24.0	24.0	
Elistair	ELISTAIR	Elistair	https://elistair.com/client-support	9109459230	12.0	12.0	
Elite Core	RG						Not in Adorama Brand List
Elite Projector	ELITEPROJ	Elite Projector	https://www.eliteprojector.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Elite Screens	ELIT	Elite Screens	https://shop.elitescreens.com/pages/terms-conditions	5624838198	24.0	24.0	
	ELIT	Refurbished products	https://shop.elitescreens.com/pages/terms-conditions	5624838198	3.0	3.0	
Elmer's	ELMR						Warranty Not Applicable
Elmo	EZ	Elmo	https://www.elmousa.com	8008963566			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Elvam	RG						Not in Adorama Brand List
Elvex	EV						Mfr Not Found
Elvid	L2	Elvid	https://www.elvidcinema.com/warranty	2125942120	12.0	12.0	
Emax	EMAX	Emax	https://emaxmodel.com/pages/support		2.0	2.0	
eMedia	EMEDIA	eMedia	https://emediamusic.com/return-policy.html	8883633424	1.0	1.0	
Emerson Electric	EMRSN	Emerson Electric	https://www.emerson.com/en-us/support/warranties-and-returns				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
EMI	EMI						Warranty Not Applicable
Eminence Speakers	EMIN	Eminence Speakers	https://eminence.com/pages/support__warranty		84.0	84.0	
eMotimo	EMOT	eMotimo	https://emotimo.com/apps/product-registration	4156848162	12.0	12.0	As per Adorama
Enabot	ENABOT						Not in Adorama Brand List
Encased	RG						Not in Adorama Brand List
Endurax	RG						Not in Adorama Brand List
Endust	CP						Warranty Not Applicable
Energen	ENRGN	Energen	https://myenergen.com/warranty-login		24.0	24.0	As per Adorama
Energizer	BY	Energizer	https://energizerconnect.com/limited-warranty	8886934189	12.0	12.0	
Energy	ENERGY	Energy	https://www.energy-speakers.com/warranty/				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
EnGenius	ENGE	EnGenius	https://www.engeniustech.com	7144328668	12.0	12.0	
Enlaps	ENLAPS	Enlaps	https://enlaps.io/en		24.0	24.0	
Entaniya	ENTN		https://products.entaniya.co.jp/en/list/hal-250-series				Warranty Not Available on MFR
ENTTEC	RG						Not in Adorama Brand List
EOTech	EOT	EOTech	https://www.eotechinc.com/help-center/warranty-information	4084962220			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
ePadLink	EPDLK	ePadLink	https://epadlink.myshopify.com/pages/terms-conditions	8005203464	12.0	12.0	
Epiphan	EPI	Epiphan	https://www.epiphan.com/warranty-return-policy	8775996581	12.0	12.0	
EPOS	8S	EPOS	https://www.eposaudio.com/en/us		24.0	24.0	
Epson	ES	Epson	https://epson.com/w/warranty	8004637766			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ergotron	ERGOT	Ergotron	https://www.ergotron.com/en-us/support/warranty-policy				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Eria	ERIA						Not in Adorama Brand List
Escort	ESCORT						Not in Adorama Brand List
ESET	ESET						Warranty Not Applicable
ESI	ESI	ESI	https://download.esi-audio.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
ETC	ETC	ETC	https://www.etcconnect.com	3234610216			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Etekcity	ETEKCITY	Etekcity	https://etekcity.com/pages/limited-product-warranty	8556863835	24.0	24.0	
EtherWAN	ETHERWAN	EtherWAN	https://www.etherwan.com/support/warranty-policy	7143507892			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ethol	CH						Warranty Not Applicable
Eton	ETN	Eton	https://etoncorp.com/pages/warranty	8008722228	12.0	12.0	
Etymotic Research	47	Etymotic Research	https://www.etymotic.com/warranty	8004312609			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Eufy	ANKER	Eufy	https://us.eufy.com/policies/refund-policy?ref=footer	8009887973			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Evans	EVANS						Warranty Not Applicable
Eve	EVE	Eve	https://www.evehome.com		24.0	24.0	
EVE Audio	EVEAU		https://eve-audio.com				Warranty Not Available on MFR
Everbilt	RG						Not in Adorama Brand List
EverFocus	RG	EverFocus	https://www.everfocus.com	6268448888			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Evermix	EVERMIX						Not in Adorama Brand List
EverSolo	EVERSOLO	EverSolo	https://www.eversolo-netherlands.com/terms-conditions		12.0	12.0	
EVGA	EVGA	EVGA	https://www.evga.com/warranty	7145284500			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
EVH	EVH	EVH	https://www.evhgear.com/support/warranty	6094652003			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Evident	EVIDENT	Evident	https://www.shopevident.com/terms	8005767606	12.0	12.0	
EVM Walsh	ARC						Not in Adorama Brand List
EVO	RG	EVO	https://www.evogimbals.com/pages/warranty-information	8669776688	12.0	12.0	
Evoluent	EVL	VerticalMouse	https://evoluent.com/support/warranty	6508711365	24.0	24.0	
	EVL	Mouse Friendly Keyboard	https://evoluent.com/support/warranty	6508711365	12.0	12.0	
	EVL	Essentials Keyboard	https://evoluent.com/support/warranty	6508711365	12.0	12.0	
Ewa-Marine	EW		https://www.ewa-marine.com/de				Warranty Not Available on MFR
Exalux	EXL	Exalux	https://exalux.eu		12.0	12.0	As per Adorama
Exascend	EXASCEND	Exascend	https://exascend.com/support/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Excel Acoustics	RG						Not in Adorama Brand List
Executive Wood	RG						Not in Adorama Brand List
Expert Shield	EXPSHL	Expert Shield	https://shop.expertshield.com/warranty		99.0	99.0	
ExpertPower	RG	ExpertPower	https://www.expertpower.us/pages/warranty-information	5626303002			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Explore Scientific	EG	Telescopes	https://explorescientificusa.com/pages/warranty	8662523811	12.0	12.0	
	EG	Waterproof Eyepieces	https://explorescientificusa.com/pages/warranty	8662523811	99.0	99.0	
	EG	Eyepieces	https://explorescientificusa.com/pages/warranty	8662523811	60.0	60.0	
	EG	Electr/Non-Electr.TelescopeAcc	https://explorescientificusa.com/pages/warranty	8662523811	12.0	12.0	
ExploreOne	EXPLR1	Telescopes	https://explorescientificusa.com/pages/warranty	8662523811	12.0	12.0	
	EXPLR1	Microscopes	https://explorescientificusa.com/pages/warranty	8662523811	12.0	12.0	
	EXPLR1	Riflescopes	https://explorescientificusa.com/pages/warranty	8662523811	60.0	60.0	
	EXPLR1	Waterproof Riflescopes	https://explorescientificusa.com/pages/warranty	8662523811	99.0	99.0	
	EXPLR1	Binoculars & Spotting Scopes	https://explorescientificusa.com/pages/warranty	8662523811	60.0	60.0	
	EXPLR1	Waterproof Binoculars, Scopes	https://explorescientificusa.com/pages/warranty	8662523811	99.0	99.0	
	EXPLR1	Rangefinders, Camera, Electric	https://explorescientificusa.com/pages/warranty	8662523811	12.0	12.0	
	EXPLR1	Thermal Monoculars	https://explorescientificusa.com/pages/warranty	8662523811	60.0	60.0	
Explorer	EXPLORER	Explorer	https://explorerphotovideo.com/warranty	4248327005	60.0	60.0	
	EXPLORER	LED lights	https://explorerphotovideo.com/warranty	4248327005	12.0	12.0	
ExpoImaging	EX	ExpoImaging	https://www.rogueflash.com/pages/warranty-returns-refunds	8317612040	12.0	12.0	
Extech	EXTECH	Extech	https://www.flir.com/support-center/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Extreme Fliers	MCDRN		https://www.extremefliers.com				Warranty Not Available on MFR
EYEBOLT	ARC						Not in Adorama Brand List
EyeDirect	RG						Not in Adorama Brand List
EZ Acoustics	EZAC		https://www.ezacoustics.com/legal-note				Warranty Not Available on MFR
EZ Dupe	RG						Not in Adorama Brand List
Ezfx	RG						Mfr Not Found
EZVIZ	EZVIZ	EZVIZ	https://www.ezviz.com/p/limited-warranty	4378873548	12.0	12.0	
F & V	FAV		https://www.fvlight.com				Warranty Not Available on MFR
FAB Defense	FAB	FAB Defense	https://www.fab-defense.co.il/en/page-warranty		99.0	99.0	
FabFilter	FABFL						Warranty Not Applicable
Facebook	FBK	Facebook	https://www.meta.com	8667980595	12.0	12.0	
Factory400	ARC						Not in Adorama Brand List
Falcam	FALCAM	Falcam	https://www.falcam.com.cn		12.0	12.0	As per Adorama
Falcon	CP						Warranty Not Applicable
Falconeyes	FALCONEYES	Falconeyes	https://www.falconeyeshk.com/policy		12.0	12.0	
FANSTAL	FANSTL						Not in Adorama Brand List
Fantasea	FE	Fantasea	http://www.fantasea.com	9897850540	12.0	12.0	
Fantom	FNTM	Fantom			24.0	24.0	As per Adorama
Farpoint	FC	Farpoint	https://farpointastro.com/pages/warranty-and-returns	8776234021	12.0	12.0	
FBT	FBT						Not in Adorama Brand List
Feelworld	FLWRLD	Feelworld	https://feelworld.ltd/pages/return-policy		12.0	12.0	
Feisol	FEISOL	Feisol	https://www.feisol.net/feisol-service		36.0	36.0	
Feiyu	FEIYU	Feiyu	https://store.feiyu-tech.com/pages/maintenance-service/#c1		12.0	12.0	
Fellowes	FW	Fellowes	https://www.fellowes.com/ca/en	6308931600			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fender	FEND	Fender	https://support.fender.com	8442020924			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fender Custom Shop	FCS	Fender Custom Shop	https://support.fender.com	8442020924			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Ferrofish	FRFSH	Ferrofish	https://www.ferrofish.com/terms-of-service		24.0	24.0	
FIAT	FIAT	FIAT	https://scootsandsounds.com/warranty		3.0	3.0	
Fidelity							Mfr Not Found
Field Optics Research			https://www.fieldopticsresearch.com	3854983848			Warranty Not Available on MFR
FieldCast	FLDCST	FieldCast	https://fieldcast.eu				Warranty Not Available on MFR
Fifine Technology		Fifine Technology	https://fifinemicrophone.com/pages/privacy-warranty-policy		24.0	24.0	
Fiilex	FLX	Fiilex	https://fiilex.com	5106205155			Warranty Not Available on MFR
Film Gear		Film Gear	https://www.filmgearusa.com	3237808880	24.0	24.0	
FILMCITY		FILMCITY	https://www.proaimusa.com	7785541018	12.0	12.0	
Filmcraft		Filmcraft	https://www.filmcraftla.com/pages/return-policy	8189274163	3.0	3.0	As per Adorama
FilmLight							No SKU is not listed on Adorama
Filmsticks		Filmsticks	https://filmsticks.us				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Filmtools		Filmtools	https://www.filmtools.com	8888071900			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fimi		Fimi	https://www.fimi.com/fimi-premium-care.html		12.0	12.0	
Firefield		Firefield	https://support.fire-field.com/hc/en-us	8177909862			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Firehouse Technology	FHT	Firehouse Technology	https://www.firehousetechnology.com	4406066094	3.0	3.0	
First Act							Not in Adorama Brand List
Fisher	RG						Mfr Not Found
Fisher Research Labs	FSHR						Mfr Not Found
Fitbit	FIT	Fitbit	https://www.fitbit.com/global/us/legal/returns-and-warranty	8776234997	12.0	12.0	
Fitness Technologies	FITNESST	Fitness Technologies	https://www.gearedtobefit.com/warranty.cfm		12.0	12.0	
Flanders Scientific	FLANDERS	Flanders Scientific	https://www.shopfsi.com/help_answe	6788354934	24.0	24.0	
Flashpoint		Flashpoint	https://www.flashpointlighting.com/service-repair-2	2126479300			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Flex Lens Shade	FLS						Mfr Not Found
FlexFill	FLXFL						Mfr Not Found
FlexShooter			https://birdsasart-shop.com/flexshooter				Warranty Not Available on MFR
Flight	FLGHT		https://flightmusic.com				Warranty Not Available on MFR
Flip	FLIP		https://www.flipfilters.com				Warranty Not Available on MFR
FLIR	FLIR	FLIR	https://www.flir.com/support-center/warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
FLM	FLM	FLM	https://flmusa.com/warranty	5037521394	120.0	120.0	
FloLight	FF						Mfr Not Found
Flotone	BM						Mfr Not Found
Flowcine	FLCINE	Flowcine	https://www.flowcine.com		12.0	12.0	As per Adorama
Fluid Audio	FLUIAUD	Fluid Audio	https://fluidaudio.com/product-warran		12.0	12.0	
Fluotec	FLUTC	Fluotec	https://fluotec.net/warranty-repair	8333586832	24.0	24.0	
FLYCAM	FLYCM	FLYCAM	https://www.proaimusa.com	7785541018	12.0	12.0	
Flymount	FLYMOUNT	Flymount	https://flymount.com/warranty-registration		12.0	12.0	As per Adorama
Flysight		Flysight	https://www.flysight.com/warranty-36.html		12.0	12.0	
FoamWerks	LG		https://www.logangraphic.com	8003316232			Warranty Not Available on MFR
Foba	FQ		https://fobaus.com/warranty-registration				Warranty only when Product Registered
Focal	FCL	Focal	https://www.focal.com/us/conditions-warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Focus							No SKU is not listed on Adorama
Focusrite	FOCUSRT	Focusrite	https://focusrite.com/warranty	3103225500	36.0	36.0	
FocusShifter	ENGI	FocusShifter	https://www.focusshifter.com/lensshifter-warranty		99.0	99.0	
Foma	FMAFLM						Warranty Not Applicable
For.A	FORA	For.A	https://www.for-a.com/support/warranty_policy.html	9732208471	12.0	12.0	
Format	FRMT						Mfr Not Found
Formatt Hitech	HITECH	Formatt Hitech	https://formatt-hitechusa.com	7147663310	12.0	12.0	As per Adorama
Fortinge	FRTNG	Fortinge	https://fortinge.com		12.0	12.0	As per Adorama
FOSITAN		FOSITAN	http://www.fositan.online/faq.asp		18.0	18.0	
Fostex	FSTX	Fostex	https://www.fostexinternational.com	6088313433	12.0	12.0	As per Adorama
Fotasy							Mfr Not Found
Fotga			https://www.fotga.com				Warranty Not Available on MFR
Fotodiox	FOTOD	Fotodiox	https://fotodioxpro.com/pages/payment-warranty	8472014623	24.0	24.0	
FotoPro	FTPRO	FotoPro	https://www.fotopro.com/warranty		72.0	72.0	As per Adorama
Fovitec	RG	Fovitec	https://www.fovitec.com/policies/refund-policy	9492817789			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
FoxFury	FOXFU	FoxFury	https://www.foxfury.com	7609454231			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
FPP	FPP						Warranty Not Applicable
Fractal Design	FR	Fractal Design	https://www.fractal-design.com/warranty-information	8554463722			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Framatic	FD						Warranty Not Applicable
Freedom360			https://freedom360.us/about/terms-and-conditions	6464790977			Warranty Not Available on MFR
Freefly	FREEFLY	Freefly	https://freeflysystems.com/support/warranty-repairs-support		12.0	12.0	As per Adorama
Freestream							Not in Adorama Brand List
Freewell	FRWL	Freewell	https://warranty.freewellgear.com		99.0	99.0	
Frezzi	FZ	Frezzi	http://www.frezzi.com/warranty.htm	9734271160	12.0	12.0	
Friday Home			https://fridayhome.net				Warranty Not Available on MFR
Fringer	FRG	Fringer	https://www.fringeradapter.com		12.0	12.0	As per Adorama
Frio	FRIO	Frio	https://friophoto.com/returns-warranty	8888429101	99.0	99.0	
FrogEye	FRGEY						Mfr Not Found
Froggi	ZCAMEX						Mfr Not Found
Front Line	FRONTLINE	Front Line	https://www.frontlineholsters.com/warranty_return_policy		99.0	99.0	
FrSky		FrSky	https://www.frsky-rc.com	7149873100	12.0	12.0	
FS Labs	FSLABS	FS Labs	https://www.fstop-labs.com		12.0	12.0	As per Adorama
Fstop Labs		Fstop Labs	https://www.fstop-labs.com		12.0	12.0	
FSI	RG	FSI	https://www.shopfsi.com/help_answer.asp	6788354934	24.0	24.0	
FSP Group		FSP Group	https://www.fspgroupusa.com/warrantypolicy.html	9093455260	12.0	12.0	
F-stop	F-STOP	Dyota Series Camera Bag	https://fstopgear.com/warranty	2532360070	240.0	240.0	
	F-STOP	Mountain Series Camera Bag	https://fstopgear.com/warranty	2532360070	240.0	240.0	
	F-STOP	Ultra Light Series Camera Bag	https://fstopgear.com/warranty	2532360070	36.0	36.0	
	F-STOP	Urban Series Camera Bag	https://fstopgear.com/warranty	2532360070	24.0	24.0	
	F-STOP	Accessories	https://fstopgear.com/warranty	2532360070	24.0	24.0	
	F-STOP	Camera Inserts (ICU)	https://fstopgear.com/warranty	2532360070	36.0	36.0	
	F-STOP	Dyota Masks	https://fstopgear.com/warranty	2532360070	6.0	6.0	
Fuchs	FUCHS	Fuchs	https://fuchsaudiotechnology.com	9737724420	60.0	60.0	
Fujifilm	FJ	Fujifilm	https://global.fujifilm.com/en	8006593854			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fujikura			https://www.fujikura.com				Warranty Not Available on MFR
Fujinon	FN	Fujinon	https://global.fujifilm.com/en				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fujitsu	FUJITSU	Fujitsu	https://www.fujitsu.com/us		12.0	12.0	
Fujiyama							Not in Adorama Brand List
Furman Sound	FURMAN	Furman Sound	https://www.furmanpower.com/product-warranty				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Fusion TLC	FTLC	Fusion TLC	https://fusiontlc.com/pages/warranty-coverage		12.0	12.0	
Futaba		Futaba	https://www.futaba.com.sg/support-2/warranty-policy	2564619399	12.0	12.0	
FX Lion	FXLN	FX Lion	https://fxlion.net		12.0	12.0	As per Adorama
FX Lion		FXLion	https://fxlion.net		12.0	12.0	
FXHOME Ltd	IS						Warranty Not Applicable
Gamemill	GAME	Gamemill	https://gamemill.com/games/				
GaffGun	GFGN	GaffGun	https://www.brontapes.com/shop/gaffgun	8888772766	3.0	3.0	As per Adorama
Galaxy Audio	GALA	Galaxy Audio	https://galaxyaudio.com/support/warranty	8003697768			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Gallien-Kruger	GALKRU	Electronics	https://www.gallien-krueger.com/warranty	2092347300	24.0	24.0	
	GALKRU	Speakers	https://www.gallien-krueger.com/warranty	2092347300	12.0	12.0	
Gam	RG						Mfr Not Found
Garmin	GARM	Garmin	https://www.garmin.com/en-US/legal/consumer-limited-warranty		12.0	12.0	
Garrett	GARRETT	Garrett	https://garrett.com/sport/warranty-registration	8002346151	36.0	36.0	
Garritan	GARI						Warranty Not Applicable
Gary Fong			https://garyfong.com				Warranty Not Available on MFR
Gator Cases	GATO	Gator Cases	https://gatorco.com/warranty	8132214191			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GAUGE	GAUGE	GAUGE	https://www.gauge-usa.com/pages/warranty	8554242843	24.0	24.0	
GBC	GB	GBC	https://www.gbc.com				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Gdome		Gdome	https://getgdome.com/pages/gdome-warrantee		12.0	12.0	
GDU-Tech	GDUTECH	GDU-Tech	https://www.gdutech.com/				
GEEKOTO			https://www.geekoto.com/returnwarranty-policy				Warranty Not Available on MFR
Gefen	GEFEN	Gefen	https://gefen.com/warranty-and-return-policy	8004725555	36.0	36.0	
Gemfan			https://www.gemfanhobby.com				Warranty Not Available on MFR
Gemini	GEMINI	Gemini	https://geminisound.com/pages/faqs	7323460061	12.0	12.0	
Gemline	G8						Mfr Not Found
GEN Energy	GENENR	Batteries	https://www.genenergyusa.com/download		24.0	24.0	
Genaray	RG	Genaray	https://www.genaray.com/warranty	8774352045	12.0	12.0	
Genelec	GNLC	Genelec	https://www.genelec.com/product-warranty-lifetime	5086520900	24.0	24.0	
General Brand							Mfr Not Found
General Electric							Mfr Not Found
Generic		Generic	http://www.meikestore.com/pages/policies-terms/return-policy		12.0	12.0	
Genesis	RG						Mfr Not Found
Genius Ingenious							Mfr Not Found
Genustech	GN	Genustech	https://www.genustech.tv		12.0	12.0	As per Adorama
Gepe	GP		https://www.gepe.com				Warranty Not Available on MFR
Gerald							Not in Adorama Brand List
GGS							Mfr Not Found
Ghostek	GHOSTK	Ghostek	https://ghostek.in/pages/warranty		99.0	99.0	
Gig Gear	GIGG	Gig Gear	https://www.gig-gear.com/disclaimer-and-warranty	7185695345	1.0	1.0	
Gigabyte	GIGABYTE	Gigabyte	https://www.gigabyte.com/Support/Consumer/Warranty	6268549338			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GigaPan		GigaPan	https://gigapan.com/cms/about/warranty-policy		12.0	12.0	
Giottos	GT		https://giottos.shop/				Mfr Not Found
GISIAN							Mfr Not Found
GiSTEQ							Mfr Not Found
Gitup	GITUP	Cameras	https://www.gitup.com/content/10-warranty		12.0	12.0	
	GITUP	Accessories	https://www.gitup.com/content/10-warranty		3.0	3.0	
Gitzo	BG	Gitzo	https://www.gitzo.com/us-en				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GKC							Mfr Not Found
GLI Pro	GLIP						Mfr Not Found
Glide Gear	GLG	Glide Gear	https://glidegear.net/a/faq	8439454031	99.0	99.0	
Glidecam	GC	Glidecam	https://glidecam.com/warranty	7815857900	12.0	12.0	
	RG	Batteries	https://glidecam.com/warranty	7815857900	3.0	3.0	
Glidetrack							Mfr Not Found
Global Dynamics United			https://global-dynamics-united.myshopify.com				Warranty Not Available on MFR
Global Truss	GLOBALT	Global Truss	Global Truss	3234156225	12.0	12.0	As per Adorama
Globalmediapro							Not in Adorama Brand List
Glorious	GLORIOUS	Glorious	https://www.glorious.de		24.0	24.0	As per Adorama
Glow	GLOW	Glow		8008150702	12.0	12.0	Adorama Private Brand
Glyph Technologies	G2	Glyph Technologies	https://glyphtech.com/pages/warranty-info	8003350345			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GNARBOX							Mfr Not Found
Go Box	GOBOX	Go Box	https://go-box.com		12.0	12.0	
Go Professional Cases	GOPROF	Go Professional Cases	https://goprofessionalcases.com/pages/return-warranty-policy	8584677903			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GO PUCK	GOPUCK	GO PUCK			12.0	12.0	As per Adorama
Go Simply Connect	GOSIM	Go Simply Connect	https://gosimplyconnect.com/warranty-policy				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Goal Zero	RG						Mfr Not Found
Gobe	GOBE						Mfr Not Found
Godin	GODIN	Guitars	https://godinguitars.com/faq	5144575774	99.0	99.0	
	GODIN	Electronics	https://godinguitars.com/faq	5144575774	12.0	12.0	
	GODIN	Accessories	https://godinguitars.com/faq	5144575774	12.0	12.0	
Godox	GODX1	Godox	https://www.godox.com	8008150702	12.0	12.0	https://store.godox.eu/en/content/2-warranty
GoGo Tuners	GGOTN		https://www.gogotuners.com	8186658047			Warranty Not Available on MFR
Golden Age Project	GOLAGE	Golden Age Project	https://goldenageaudio.com		12.0	12.0	As per Adorama
Gon Bops	SBN	Gon Bops	https://www.gonbops.com/contact	8008172242			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GONGYI							Mfr Not Found
Goodview		Goodview	https://en.goodview.com		12.0	12.0	
Google	GOOGL		https://www.google.com/intl/en_in/chrome				Warranty Not Available on MFR
Google Nest	NEST	Google Nest	https://support.google.com/product-documentation				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GoPole	GOP	GoPole			99.0	99.0	As per Adorama
GoPro	GOPRO	GoPro	https://gopro.com/en/us	8005659966			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
GoScope							Not in Adorama Brand List
Gosky			https://goskyoptics.com/warranty				Warranty Not Available on MFR
Gossen	GS	Gossen	https://gossen-photo.de/en/terms-of-delivery-and-guarantee				Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Gotham Sound							Not in Adorama Brand List
GoWing	LFLP		https://lensflipper.com	7028530152			Warranty Not Available on MFR
Grace Design		Grace Design	https://gracedesign.com/support-documents/warranty	3038238100			Different Warranty for Different Products, to fill Warranty Info during SKU Content Creation
Grace Digital	GJ						Mfr Not Found
Graflex							Mfr Not Found
Gralab	GRALAB	Gralab	http://www.gralab.com	9374337600	12.0	12.0	
Grandstream Networks	GRSTR						Mfr Not Found
Graphic Finishing Partners	ADIG	Graphic Finishing Partners	https://www.gfpartnersllc.com/supplies		12.0	12.0	
Grass Valley	GRASV	Grass Valley	https://www.grassvalley.com	9719990894	36.0	36.0	
Graupner							Not in Adorama Brand List
Gravity Backdrops	GRAVITY						Warranty Not Applicable
Great Video Maker	CLAR	Great Video Maker	https://gvmled.com/warranty	6505348186	12.0	12.0	
Green Extreme	GREENEX	Green Extreme					Mfr Not Found
Green Go	GREENGO	Green Go	https://www.greengodigital.com		24.0	24.0	As per Adorama
